nofinesset,nofinessej,rs_courte,rs_longue,telephone,departement_code,departement_nom,ville_cp,categorie_libelle,categorie_groupe_libelle,statut_juridique_lib,siret
010009314,010780054,SSR HOTEL DIEU DE FLEYRIAT,SSR HOTEL DIEU DE FLEYRIAT,0474454647,01,AIN,01000 BOURG EN BRESSE,Centre Hospitalier (C.H.),Centres Hospitaliers,Etablissement public de santé,
010010163,730000015,CHMS - SITE BELLEY LABO BIO MEDICALE,CHMS - SITE BELLEY LABORATOIRE DE BIOLOGIE MEDICALE,0479425966,01,AIN,01300 BELLEY,Centre Hospitalier (C.H.),Centres Hospitaliers,Etablissement public de santé,20005029200040
010786879,010780062,CPEF DE BELLEY,CENTRE DE PLANIFICATION OU D'EDUCATION FAMILIALE DE BELLEY,0479813518,01,AIN,01300 BELLEY,Centre Hospitalier (C.H.),Centres Hospitaliers,Etablissement public de santé,26010003700050
020000089,020000022,CH GUISE,CENTRE HOSPITALIER DE GUISE,0323515555,02,AISNE,02120 GUISE,Centre Hospitalier (C.H.),Centres Hospitaliers,Etablissement public de santé,26020865700015
020000097,020000048,CH LA FÈRE,,0323566700,02,AISNE,02800 LA FERE,Centre Hospitalier (C.H.),Centres Hospitaliers,Etablissement public de santé,26020866500018
020000105,020000055,CH LE NOUVION-EN-THIÉRACHE,,0323975656,02,AISNE,02170 LE NOUVION EN THIERACHE,Centre Hospitalier (C.H.),Centres Hospitaliers,Etablissement public de santé,26020009200013
020000154,020000295,HJ SAINT QUENTIN PSY ENFANT ET ADO,HJ SAINT QUENTIN PSYCHIATRIE ENFANT ET ADOLESCENT,0323607700,02,AISNE,02100 ST QUENTIN,Centre Hospitalier Spécialisé lutte Maladies Mentales,Centres Hospitaliers Spécialisés Lutte Maladies Mentales,Etablissement public de santé,26020034000180
020000162,020000063,CH SAINT-QUENTIN,,0323067330,02,AISNE,02321 ST QUENTIN CEDEX,Centre Hospitalier (C.H.),Centres Hospitaliers,Etablissement public de santé,26020861600011
020000246,020000071,CH VERVINS,,0323916060,02,AISNE,02140 VERVINS,Centre Hospitalier (C.H.),Centres Hospitaliers,Etablissement public de santé,26020010000014
020000394,020000253,CH LAON,,0323243333,02,AISNE,02001 LAON CEDEX,Centre Hospitalier (C.H.),Centres Hospitaliers,Etablissement public de santé,26020871500011
020000519,020000261,CH SOISSONS,,0323757070,02,AISNE,02209 SOISSONS CEDEX,Centre Hospitalier (C.H.),Centres Hospitaliers,Etablissement public de santé,26020862400015
020000535,020000287,CH CHAUNY,,0323385500,02,AISNE,02303 CHAUNY CEDEX,Centre Hospitalier (C.H.),Centres Hospitaliers,Etablissement public de santé,26020864000011
020000543,020000295,EPSMDA,ETABLISSEMENT PUBLIC DE SANTÉ MENTALE DE L'AISNE,0323236666,02,AISNE,02320 PREMONTRE,Centre Hospitalier Spécialisé lutte Maladies Mentales,Centres Hospitaliers Spécialisés Lutte Maladies Mentales,Etablissement public de santé,26020034000016
020000915,020003620,SSR JACQUES FICHEUX SAINT-GOBAIN,,0323387800,02,AISNE,02410 ST GOBAIN,Centre Hospitalier (C.H.),Centres Hospitaliers,Etablissement public de santé,26020035700010
020001061,020004404,CH CHÂTEAU-THIERRY,,0323696600,02,AISNE,02400 CHATEAU THIERRY,Centre Hospitalier (C.H.),Centres Hospitaliers,Etablissement public de santé,26020863200018
020001087,020004495,CH HIRSON,,0323588282,02,AISNE,02500 HIRSON,Centre Hospitalier (C.H.),Centres Hospitaliers,Etablissement public de santé,26020007600016
020002051,020000295,HJ SOISSONS PSYCHIATRIE ADULTE,,0323530206,02,AISNE,02200 SOISSONS,Centre Hospitalier Spécialisé lutte Maladies Mentales,Centres Hospitaliers Spécialisés Lutte Maladies Mentales,Etablissement public de santé,26020034000024
020002499,020001749,GIE IRM SCANNER SOISSONS,GIE IRM SCANNER SOISSONS,0323757102,02,AISNE,02200 SOISSONS,Autre Etablissement Loi Hospitalière,Autres Etablissements Relevant de la Loi Hospitalière,Non concerné,43486251200010
020002598,020002549,SCM CBGD SOISSONS,,0323767575,02,AISNE,02200 SOISSONS,Autre Etablissement Loi Hospitalière,Autres Etablissements Relevant de la Loi Hospitalière,Non concerné,42378676300023
020002689,020002648,GIE IRM LAON,,,02,AISNE,02000 LAON,Autre Etablissement Loi Hospitalière,Autres Etablissements Relevant de la Loi Hospitalière,Non concerné,48016140500018
020002739,020000295,UNITE DE PROXIMITE SOISSONS PSY ADULTE,UNITE DE PROXIMITE SOISSONS PSYCHIATRIE ADULTE,0323728093,02,AISNE,02200 BELLEU,Centre Hospitalier Spécialisé lutte Maladies Mentales,Centres Hospitaliers Spécialisés Lutte Maladies Mentales,Etablissement public de santé,26020034000479
020003208,020003158,GIE IMAGERIE MÉDICALE DU VERMANDOIS,,0323645091,02,AISNE,02100 ST QUENTIN,Autre Etablissement Loi Hospitalière,Autres Etablissements Relevant de la Loi Hospitalière,Non concerné,44477099400010
020003877,020000253,SSR CH LAON,,0323793579,02,AISNE,02000 LAON,Centre Hospitalier (C.H.),Centres Hospitaliers,Etablissement public de santé,26020871500102
020003919,020000295,HJ ETAMPES SUR MARNE PSY ENFANT ET ADO,HJ ETAMPES SUR MARNE PSYCHIATRIE ENFANT ET ADOLESCENT,0323691039,02,AISNE,02400 ETAMPES SUR MARNE,Centre Hospitalier Spécialisé lutte Maladies Mentales,Centres Hospitaliers Spécialisés Lutte Maladies Mentales,Etablissement public de santé,26020034000172
020004297,020005179,HAD AMSAM SOISSONS,,0323755100,02,AISNE,02203 SOISSONS CEDEX,Hospitalisation à Domicile,Traitements et Soins à Domicile,"Etab de santé privé non lucratif, non déclar intérêt collect",77554727600086
020004388,020000063,CPEF CH SAINT-QUENTIN,,0323067380,02,AISNE,02321 ST QUENTIN CEDEX,Centre Hospitalier (C.H.),Centres Hospitaliers,Etablissement public de santé,26020861600029
020004529,020000295,HJ HIRSON PSYCHIATRIE ENFANT ET ADO,HJ HIRSON PSYCHIATRIE ENFANT ET ADOLESCENT,0323585033,02,AISNE,02500 HIRSON,Centre Hospitalier Spécialisé lutte Maladies Mentales,Centres Hospitaliers Spécialisés Lutte Maladies Mentales,Etablissement public de santé,26020034000065
020004990,020000295,HJ CHAUNY PSYCHIATRIE ENFANT ET ADO,HJ CHAUNY PSYCHIATRIE ENFANT ET ADOLESCENT,0323392611,02,AISNE,02300 CHAUNY,Centre Hospitalier Spécialisé lutte Maladies Mentales,Centres Hospitaliers Spécialisés Lutte Maladies Mentales,Etablissement public de santé,26020034000149
020005088,020000295,HJ LAON PSYCHIATRIE ENFANT ET ADO,HJ LAON PSYCHIATRIE ENFANT ET ADOLESCENT,0323202555,02,AISNE,02000 LAON,Centre Hospitalier Spécialisé lutte Maladies Mentales,Centres Hospitaliers Spécialisés Lutte Maladies Mentales,Etablissement public de santé,26020034000107
020006151,020000295,HJ LA FERE PSYCHIATRIE ENFANT ET ADO,HJ LA FERE PSYCHIATRIE ENFANT ET ADOLESCENT,0323566729,02,AISNE,02800 LA FERE,Centre Hospitalier Spécialisé lutte Maladies Mentales,Centres Hospitaliers Spécialisés Lutte Maladies Mentales,Etablissement public de santé,26020034000073
020006664,020000063,CENTRE PSYCHOTHÉRAPIE CH ST QUENTIN,,0323067131,02,AISNE,02321 ST QUENTIN CEDEX,Centre Hospitalier (C.H.),Centres Hospitaliers,Etablissement public de santé,26020861600094
020007829,020007779,SCM CEISC,,0323645000,02,AISNE,02100 ST QUENTIN,Autre Etablissement Loi Hospitalière,Autres Etablissements Relevant de la Loi Hospitalière,Non concerné,40830694200017
020007928,020007878,SCM IMAGERIE C Z,,0323645091,02,AISNE,02100 ST QUENTIN,Autre Etablissement Loi Hospitalière,Autres Etablissements Relevant de la Loi Hospitalière,Non concerné,40829928700016
020008793,020000295,HJ TERGNIER PSYCHIATRIE ADULTE,HÔPITAL DE JOUR TERGNIER PSYCHIATRIE ADULTE,0323575333,02,AISNE,02700 TERGNIER,Centre Hospitalier Spécialisé lutte Maladies Mentales,Centres Hospitaliers Spécialisés Lutte Maladies Mentales,Etablissement public de santé,26020034000156
020009494,020000295,UNITE DE PROXIMITE CHAUNY PSY ADULTE,UNITE DE PROXIMITE CHAUNY PSYCHIATRIE ADULTE,0323395455,02,AISNE,02300 CHAUNY,Centre Hospitalier Spécialisé lutte Maladies Mentales,Centres Hospitaliers Spécialisés Lutte Maladies Mentales,Etablissement public de santé,26020034000198
020010898,750721334,HAD CRF CHAUNY,,0323520256,02,AISNE,02300 CHAUNY,Hospitalisation à Domicile,Traitements et Soins à Domicile,Etablissement de santé privé d'intérêt collectif,77567227220908
020011029,020010989,GIE CIMEDIC,,0323385821,02,AISNE,02300 CHAUNY,Autre Etablissement Loi Hospitalière,Autres Etablissements Relevant de la Loi Hospitalière,Non concerné,48132601500015
020012605,020000295,UNITE DE PROXIMITE LAON PSY ADULTE,UNITE DE PROXIMITE LAON PSYCHIATRIE ADULTE,0323263300,02,AISNE,02000 LAON,Centre Hospitalier Spécialisé lutte Maladies Mentales,Centres Hospitaliers Spécialisés Lutte Maladies Mentales,Etablissement public de santé,26020034000453
020012845,020000295,HJ CROUY PSYCHIATRIE ENFANT ET ADO,HJ CROUY PSYCHIATRIE ENFANT ET ADOLESCENT,0323595411,02,AISNE,02880 CROUY,Centre Hospitalier Spécialisé lutte Maladies Mentales,Centres Hospitaliers Spécialisés Lutte Maladies Mentales,Etablissement public de santé,26020034000461
020014098,020000295,UNITE DE PROXIMITE HIRSON PSY ADULTE,UNITE DE PROXIMITE HIRSON PSYCHIATRIE ADULTE,0323588340,02,AISNE,02500 HIRSON,Centre Hospitalier Spécialisé lutte Maladies Mentales,Centres Hospitaliers Spécialisés Lutte Maladies Mentales,Etablissement public de santé,
020014502,020000295,HJ PREMONTRE PSYCHIATRIE ADULTE,,0323218830,02,AISNE,02320 BRANCOURT EN LAONNOIS,Centre Hospitalier Spécialisé lutte Maladies Mentales,Centres Hospitaliers Spécialisés Lutte Maladies Mentales,Etablissement public de santé,26020034000339
020014767,590805065,HAD TEMPS DE VIE SAINT-QUENTIN,,0323065175,02,AISNE,02100 ST QUENTIN,Hospitalisation à Domicile,Traitements et Soins à Domicile,"Etab de santé privé non lucratif, non déclar intérêt collect",39434217400023
020015012,020015004,GIE GAMMA 02 SOISSONS,,0323757105,02,AISNE,02200 SOISSONS,Autre Etablissement Loi Hospitalière,Autres Etablissements Relevant de la Loi Hospitalière,Non concerné,45232511100014
020016366,020000063,SMUR CH SAINT-QUENTIN GUISE,,,02,AISNE,02120 GUISE,Centre Hospitalier (C.H.),Centres Hospitaliers,Etablissement public de santé,
020017448,590799995,SANTELYS DIALYSE À DOM CH ST QUENTIN,SANTELYS SITE CH ST QUENTIN,,02,AISNE,02100 ST QUENTIN,Autre Etablissement Loi Hospitalière,Autres Etablissements Relevant de la Loi Hospitalière,Etablissement de santé privé d'intérêt collectif,
020017455,590799995,SANTELYS DIALYSE À DOMICILE CH LAON,SANTELYS SITE CH LAON,,02,AISNE,02000 LAON,Autre Etablissement Loi Hospitalière,Autres Etablissements Relevant de la Loi Hospitalière,Etablissement de santé privé d'intérêt collectif,
020018495,020001632,SCANNER CLINIQUE ST CLAUDE,SCANNER CLINIQUE ST CLAUDE,,02,AISNE,02315 ST QUENTIN CEDEX,Autre Etablissement Loi Hospitalière,Autres Etablissements Relevant de la Loi Hospitalière,Non concerné,
020018677,800019317,IMAGERIE SCINTIGRAPHIQUE - SOISSONS,SELARL D'IMAGERIE SCINTIGRAPHIQUE - SITE SOISSONS,,02,AISNE,02209 SOISSONS CEDEX,Autre Etablissement Loi Hospitalière,Autres Etablissements Relevant de la Loi Hospitalière,Non concerné,51431864100024
020019204,020019196,GIE IMAGERIE MÉDICALE CHÂTEAU-THIERRY,,,02,AISNE,02400 CHATEAU THIERRY,Autre Etablissement Loi Hospitalière,Autres Etablissements Relevant de la Loi Hospitalière,Non concerné,84373515000016
030000012,030780100,CH DE NERIS LES BAINS,CENTRE HOSPITALIER DE NERIS-LES-BAINS,0470085300,03,ALLIER,03310 NERIS LES BAINS,Centre Hospitalier (C.H.),Centres Hospitaliers,Etablissement public de santé,26030017300168
030000061,030780092,CH DE MOULINS,CENTRE HOSPITALIER DE MOULINS,0470357777,03,ALLIER,03006 MOULINS CEDEX,Centre Hospitalier (C.H.),Centres Hospitaliers,Etablissement public de santé,26030383900013
030000079,030780100,CH DE MONTLUCON,CENTRE HOSPITALIER DE MONTLUCON,0470023030,03,ALLIER,03109 MONTLUCON CEDEX,Centre Hospitalier (C.H.),Centres Hospitaliers,Etablissement public de santé,26030017300010
030000087,030780118,CH JACQUES LACARIN VICHY,,0470973333,03,ALLIER,03201 VICHY CEDEX,Centre Hospitalier (C.H.),Centres Hospitaliers,Etablissement public de santé,26030026400017
030000095,030780126,CH DE BOURBON L'ARCHAMBAULT,CENTRE HOSPITALIER DE BOURBON L'ARCHAMBAULT,0470673200,03,ALLIER,03160 BOURBON L ARCHAMBAULT,Centre Hospitalier (C.H.),Centres Hospitaliers,Etablissement public de santé,26030001700068
030000160,030780282,CHS D'AINAY LE CHATEAU,CENTRE HOSPITALIER SPECIALISE D'AINAY LE CHATEAU,0470022626,03,ALLIER,03360 AINAY LE CHATEAU,Centre Hospitalier Spécialisé lutte Maladies Mentales,Centres Hospitaliers Spécialisés Lutte Maladies Mentales,Etablissement public de santé,26030493600016
030001689,030005821,CENTRE DE RADIOTHERAPIE JOSEPH BELOT,,0470083500,03,ALLIER,03630 DESERTINES,Autre Etablissement Loi Hospitalière,Autres Etablissements Relevant de la Loi Hospitalière,Non concerné,77900840800014
030002208,030002158,CH DPT COEUR DU BOURBONNAIS TRONGET,CENTRE HOSPITALIER DPT COEUR DU BOURBONNAIS,0470476060,03,ALLIER,03240 TRONGET,Centre Hospitalier (C.H.),Centres Hospitaliers,Etablissement public de santé,26030501600016
030006613,030006530,CENTRE D'IMAGERIE MEDICALE,,0470083200,03,ALLIER,03100 MONTLUCON,Autre Etablissement Loi Hospitalière,Autres Etablissements Relevant de la Loi Hospitalière,Non concerné,41219060500011
030007835,030780092,MAISON COMMUNAUTAIRE,MAISON COMMUNAUTAIRE,0470448940,03,ALLIER,03000 MOULINS,Centre Hospitalier (C.H.),Centres Hospitaliers,Etablissement public de santé,26030383900195
030007843,030780092,HOPITAL DE JOUR ADULTE DENIS PAPIN,HOPITAL DE JOUR ADULTE DENIS PAPIN,0470465496,03,ALLIER,03000 MOULINS,Centre Hospitalier (C.H.),Centres Hospitaliers,Etablissement public de santé,26030383900203
030007942,030002158,CH DPT COEUR BOURBONNAIS ST POURCAIN,CH DPT COEUR BOURBONNAIS - SAINT-POURCAIN-SUR-SIOULE,0470476060,03,ALLIER,03500 ST POURCAIN SUR SIOULE,Centre Hospitalier (C.H.),Centres Hospitaliers,Etablissement public de santé,26030501600032
030008726,180006496,CTRE ONCO ST JEAN SITE MOULINS,CTRE ONCO ST JEAN  (RADIOTHE) SITE MOULINS,,03,ALLIER,03000 MOULINS,Autre Etablissement Loi Hospitalière,Autres Etablissements Relevant de la Loi Hospitalière,indéterminé,53792793100015
030009013,030780282,CMP ADULTES CÉRILLY,CENTRE MÉDICO-PSYCHOLOGIQUE (CMP) POUR ADULTES CÉRILLY,,03,ALLIER,03350 CERILLY,Centre Hospitalier Spécialisé lutte Maladies Mentales,Centres Hospitaliers Spécialisés Lutte Maladies Mentales,Etablissement public de santé,
030009195,030780282,CMP ADULTES AINAY LE CHÂTEAU,CENTRE MÉDICO-PSYCHOLOGIQUE POUR ADULTES AINAY LE CHÂTEAU,,03,ALLIER,03360 AINAY LE CHATEAU,Centre Hospitalier Spécialisé lutte Maladies Mentales,Centres Hospitaliers Spécialisés Lutte Maladies Mentales,Etablissement public de santé,
030009203,030780282,CMP ADULTES VALIGNY/LURCY,CENTRE MÉDICO-PSYCHOLOGIQUE (CMP) POUR ADULTES VALIGNY/LURCY,,03,ALLIER,03360 VALIGNY,Centre Hospitalier Spécialisé lutte Maladies Mentales,Centres Hospitaliers Spécialisés Lutte Maladies Mentales,Etablissement public de santé,
030009211,030780282,CMP ADULTES SAINT BONNET TRONÇAIS,CMP POUR ADULTES SAINT BONNET TRONÇAIS,,03,ALLIER,03360 ST BONNET TRONCAIS,Centre Hospitalier Spécialisé lutte Maladies Mentales,Centres Hospitaliers Spécialisés Lutte Maladies Mentales,Etablissement public de santé,
030009229,030780282,CMP ADULTES COSNE D'ALLIER,CENTRE MÉDICO-PSYCHOLOGIQUE POUR ADULTES COSNE DALLIER,,03,ALLIER,03430 COSNE D ALLIER,Centre Hospitalier Spécialisé lutte Maladies Mentales,Centres Hospitaliers Spécialisés Lutte Maladies Mentales,Etablissement public de santé,
030009237,030780282,CMP ADULTES LURCY-LÉVIS,CENTRE MÉDICO-PSYCHOLOGIQUE (CMP) POUR ADULTES LURCY-LÉVIS,,03,ALLIER,03320 LURCY LEVIS,Centre Hospitalier Spécialisé lutte Maladies Mentales,Centres Hospitaliers Spécialisés Lutte Maladies Mentales,Etablissement public de santé,
030780589,030780092,CHS D'YZEURE,CENTRE HOSPITALIER SPECIALISE D'YZEURE,0470357777,03,ALLIER,03401 YZEURE CEDEX,Centre Hospitalier (C.H.),Centres Hospitaliers,Etablissement public de santé,26030383900054
030781637,030780100,SERVICE DE PSYCHIATRIE CHATELARD,,0470023030,03,ALLIER,03170 ST ANGEL,Centre Hospitalier (C.H.),Centres Hospitaliers,Etablissement public de santé,26030017300069
030783989,030780100,CTRE DE PEDOPSYCHIATRIE JEAN BILLAUD,CENTRE DE PEDOPSYCHIATRIE JEAN BILLAUD,0470036003,03,ALLIER,03109 MONTLUCON CEDEX,Centre Hospitalier (C.H.),Centres Hospitaliers,Etablissement public de santé,26030017300085
030785042,030780118,HOPITAL DE JOUR VICHY-OUEST,,0470975148,03,ALLIER,03200 VICHY,Centre Hospitalier (C.H.),Centres Hospitaliers,Etablissement public de santé,26030026400116
030785869,030780118,ESPACE CANGUILHEM,ESPACE CANGUILHEM,0470984258,03,ALLIER,03200 VICHY,Centre Hospitalier (C.H.),Centres Hospitaliers,Etablissement public de santé,26030026400124
030785885,030780118,HOPITAL DE JOUR PSY INFANTJUV,HOPITAL DE JOUR - PSYCHIATRIE INFANTO JUVENILE,0470599808,03,ALLIER,03200 VICHY,Centre Hospitalier (C.H.),Centres Hospitaliers,Etablissement public de santé,26030026400140
040000036,040780132,EPS PIERRE GROUES DE BARCELONNETTE,ETABLISSEMENT PUBLIC DE SANTE PIERRE GROUES DE BARCELONNETTE,0492808020,04,ALPES DE HAUTE PROVENCE,04400 BARCELONNETTE,"Centre hospitalier, ex Hôpital local",Hôpitaux Locaux,Etablissement public de santé,26040002300040
040000044,040780140,EPS DUCELIA DE CASTELLANE,ETABLISSEMENT PUBLIC DE SANTE DUCELIA DE CASTELLANE,0492839800,04,ALPES DE HAUTE PROVENCE,04120 CASTELLANE,"Centre hospitalier, ex Hôpital local",Hôpitaux Locaux,Etablissement public de santé,26040015500040
040000069,040780215,CHI MANOSQUE SITE FORCALQUIER,CHI MANOSQUE SITE FORCALQUIER,0492702900,04,ALPES DE HAUTE PROVENCE,04300 FORCALQUIER,Centre Hospitalier (C.H.),Centres Hospitaliers,Etablissement public de santé,26040016300101
040000093,040780215,CHI DE MANOSQUE LOUIS RAFFALLI,CENTRE HOSPITALIER DE MANOSQUE LOUIS RAFFALLI,0492734210,04,ALPES DE HAUTE PROVENCE,04101 MANOSQUE CEDEX,Centre Hospitalier (C.H.),Centres Hospitaliers,Etablissement public de santé,26040016300077
040000119,040780231,EPS LUMIERE DE RIEZ,ETABLISSEMENT PUBLIC DE SANTE LUMIERE DE RIEZ,0492701016,04,ALPES DE HAUTE PROVENCE,04500 RIEZ,"Centre hospitalier, ex Hôpital local",Hôpitaux Locaux,Etablissement public de santé,26040011400013
040000127,040780249,EPS VALLEE DE LA BLANCHE SEYNE ALPES,EPS VALLEE DE LA BLANCHE SEYNE LES ALPES,0492309493,04,ALPES DE HAUTE PROVENCE,04140 SEYNE LES ALPES,"Centre hospitalier, ex Hôpital local",Hôpitaux Locaux,Etablissement public de santé,26040012200057
040000135,050002948,CHI DES ALPES DU SUD SITE DE SISTERON,CHI DES ALPES DU SUD SITE DE SISTERON,0492337000,04,ALPES DE HAUTE PROVENCE,04200 SISTERON,Centre Hospitalier (C.H.),Centres Hospitaliers,Etablissement public de santé,26050347900057
040000911,040788879,CENTRE HOSPITALIER DE DIGNE LES BAINS,CENTRE HOSPITALIER DE DIGNE LES BAINS,0492301288,04,ALPES DE HAUTE PROVENCE,04995 DIGNE LES BAINS CEDEX 9,Centre Hospitalier (C.H.),Centres Hospitaliers,Etablissement public de santé,26040358900013
040005035,040788879,HJ CASA CH DIGNE,HJ CASA CH DIGNE,0492322141,04,ALPES DE HAUTE PROVENCE,04000 DIGNE LES BAINS,Centre Hospitalier (C.H.),Centres Hospitaliers,Etablissement public de santé,26040358900013
040005043,040788879,HJ CH DIGNE,HJ CH DIGNE,0492312634,04,ALPES DE HAUTE PROVENCE,04000 DIGNE LES BAINS,Centre Hospitalier (C.H.),Centres Hospitaliers,Etablissement public de santé,26040358900013
040005209,040788879,HJ CMP CH DIGNE,HJ CMP CH DIGNE,0492322440,04,ALPES DE HAUTE PROVENCE,04000 DIGNE LES BAINS,Centre Hospitalier (C.H.),Centres Hospitaliers,Etablissement public de santé,26040358900013
040005241,040001034,SCANNER GIE MANOSCAN SITE CH MANOSQUE,SCANNER GIE MANOSCAN SITE CH MANOSQUE,0492703020,04,ALPES DE HAUTE PROVENCE,04101 MANOSQUE CEDEX,Autre Etablissement Loi Hospitalière,Autres Etablissements Relevant de la Loi Hospitalière,Non concerné,38814794400010
040005258,040002339,IRM GIE IRM 04 SITE CH MANOSQUE,IRM GIE IRM 04 SITE CH MANOSQUE,0492703020,04,ALPES DE HAUTE PROVENCE,04101 MANOSQUE CEDEX,Autre Etablissement Loi Hospitalière,Autres Etablissements Relevant de la Loi Hospitalière,Non concerné,43887389500025
040005266,040002339,IRM GIE IRM 04 SITE CH DIGNE,IRM GIE IRM 04 SITE CH DIGNE,0492301403,04,ALPES DE HAUTE PROVENCE,04003 DIGNE LES BAINS CEDEX,Autre Etablissement Loi Hospitalière,Autres Etablissements Relevant de la Loi Hospitalière,Non concerné,43887389500017
